"INCHIKEY","SMILES","ID","CAS","FORMULA","MONOISOTOPIC_MASS","Type","name","parent","transformation","generation","biosystem","REF","NumHDonors","NumHAcceptors"
"ZWBAMYVPMDSJGQ-UHFFFAOYSA-N","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","10",NA,"C7HF13O2","363.976896132","TP","PFHpA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x5); Alpha-Oxidation/Oxidation","2","WWTP sludge; Male Sprague-Dawley rat - blood, liver, kidneys/WWTP sludge","10.1002/etc.3750; 10.1016/j.cbi.2005.06.007/10.1002/etc.3750",1,1
"ABFCFCPCGMHSRX-UHFFFAOYSA-N","C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O","12",NA,"C8H5F11O2","342.01138918","TP","5:3 FTCA; 5:3 FtCA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x6)/Oxidation(x7); Oxidation(x5)/Oxidation(x6); Oxidation; Oxidation/Oxidation(x2); Oxidation(x4)/Oxidation(x5); Oxidation(x3)/Oxidation(x4); Oxidation(x2)/Oxidation(x3)","2; 1","WWTP sludge; soil microcosm","10.1002/etc.3750; 10.1021/acs.est.5b01219",1,1
"QOYNEVFKTZVANM-UHFFFAOYSA-N","CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","13",NA,"C7H5F11O","314.01647456","TP","5:2 sFTOH","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x7); Oxidation(x6); Oxidation(x2); Oxidation(x5); Oxidation(x4); Oxidation(x3); Oxidation","2; 1","WWTP sludge","10.1002/etc.3750",1,1
"UGMLUHQLUFIGNF-OWOJBTEDSA-N","C(=C/C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)\C(=O)O","14",NA,"C8H3F11O2","339.99573912","TP","5:3 FTUCA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x7); Oxidation(x6); Oxidation(x2); Oxidation(x5); Oxidation(x4); Oxidation(x3); Oxidation","2; 1","WWTP sludge","10.1002/etc.3750",1,1
"PXUULQAPEKKVAH-UHFFFAOYSA-N","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","15",NA,"C6HF11O2","313.980089692","TP","PFHxA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x8); Photocatalytic oxidation, Microbial/abiotic transformation/Oxidation(x7); Oxidation; Oxidation(x3)/(-HF)/Oxidation(x6); (-HF)/Oxidation(x2)/Oxidation(x5); (-HF)/beta-Oxidation/Oxidation(x4); CF2 loss; Oxidation(x2); Beta-Oxidation","2; 1","WWTP sludge; Soil/WWTP sludge; soil microcosm; Male Sprague-Dawley rat - blood, liver, kidneys/WWTP sludge; Plasma-based water treatment; Male Sprague-Dawley rat - blood, liver, kidneys","10.1002/etc.3750; 10.1016/j.scitotenv.2023.164907/10.1002/etc.3750; 10.1021/acs.est.5b01219; 10.1016/j.cbi.2005.06.007/10.1002/etc.3750; 10.1021/acs.est.8b07031; 10.1016/j.cbi.2005.06.007",1,1
"YPJUNDFVDDCYIH-UHFFFAOYSA-N","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","16",NA,"C4HF7O2","213.986476812","TP","PFBA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x8)/-C2F4; Oxidation; CF2 loss (x3); CF2 loss","2","WWTP sludge; soil microcosm; Plasma-based water treatment","10.1002/etc.3750; 10.1021/acs.est.5b01219; 10.1021/acs.est.8b07031",1,1
"CXZGQIAOTKWCDB-UHFFFAOYSA-N","C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O","17",NA,"C5HF9O2","263.983283252","TP","PFPeA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x8)/-CF2; Oxidation; CF2 loss; CF2 loss (x2)","2","WWTP sludge; soil microcosm; Plasma-based water treatment","10.1002/etc.3750; 10.1021/acs.est.5b01219; 10.1021/acs.est.8b07031",1,1
"QGCRDEVAWUFVFN-UQGZVRACSA-N","C(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","29",NA,"C14H13F13O7","540.0453689","TP","6:2 FTOH-Gluc","","Conjugation","2","Male Sprague-Dawley rat - blood, liver, kidneys","10.1016/j.cbi.2005.06.007",4,6
"BGJBRLCWYHDOSY-UHFFFAOYSA-N","C(COS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","30",NA,"C8H5F13O4S","443.9700959","TP","6:2 FTOH-Sulfate","","Conjugation","2","Male Sprague-Dawley rat - blood, liver, kidneys","10.1016/j.cbi.2005.06.007",1,3
"BKOBFLVYTXYFQZ-OWOJBTEDSA-N","C(=C(\C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)/F)\C(=O)O","34",NA,"C8H2F12O2","357.9863172","TP","(E)-6:2 FTUCA","","Oxidation(x2)/(-HF); (-HF)/Oxidation; (-HF); Oxidation","2; 1","Male Sprague-Dawley rat - blood, liver, kidneys","10.1016/j.cbi.2005.06.007",1,1
"BKOBFLVYTXYFQZ-UPHRSURJSA-N","C(=C(/C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)\F)\C(=O)O","35",NA,"C8H2F12O2","357.9863172","TP","(Z)-6:2 FTUCA","","Oxidation(x2)/(-HF); (-HF)/Oxidation; (-HF); Oxidation","2; 1","Male Sprague-Dawley rat - blood, liver, kidneys","10.1016/j.cbi.2005.06.007",1,1
"LRMSQVBRUNSOJL-UHFFFAOYSA-N","C(=O)(C(C(F)(F)F)(F)F)O","97",NA,"C3HF5O2","163.98967008","TP","PFPA","","CF2 loss (x4); CF2 loss","2","Plasma-based water treatment","10.1021/acs.est.8b07031",1,1
"QZHDEAJFRJCDMF-UHFFFAOYSA-N","C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F","98",NA,"C6HF13O3S","399.9438812","TP","PFHxS","","Decarboxylation/sulphonation","2","Plasma-based water treatment","10.1021/acs.est.8b07031",1,2
"JGTNAGYHADQMCM-UHFFFAOYSA-N","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","111",NA,"C4HF9O3S","299.95026852","TP","PFBS","","Decarboxylation/sulphonation","2","Plasma-based water treatment","10.1021/acs.est.8b07031",1,2
